1
123.00,92.00,46.73,58.57
123.00,93.00,46.73,58.57
123.00,93.00,46.73,58.57
123.00,93.00,46.73,58.57
123.00,93.00,46.73,58.57
123.00,93.00,46.73,58.57
122.00,93.00,46.73,58.57
122.00,93.00,46.73,58.57
122.00,94.00,46.73,58.57
121.00,96.00,46.73,58.57
121.00,97.00,46.73,58.57
120.00,97.00,46.73,58.57
120.00,97.00,46.73,58.57
119.00,97.00,46.73,58.57
118.00,98.00,46.73,58.57
117.00,98.00,46.73,58.57
116.00,98.00,46.73,58.57
115.00,98.00,46.73,58.57
115.00,98.00,46.73,58.57
116.00,97.00,46.73,58.57
116.00,96.00,46.73,58.57
117.00,95.00,46.73,58.57
119.00,94.00,46.73,58.57
120.00,93.00,46.73,58.57
122.00,93.00,46.73,58.57
123.00,92.00,46.73,58.57
125.00,92.00,46.73,58.57
126.00,91.00,46.73,58.57
127.00,90.00,46.73,58.57
127.00,89.00,46.73,58.57
127.00,88.00,46.73,58.57
127.00,86.00,46.73,58.57
125.00,85.00,46.73,58.57
124.00,84.00,46.73,58.57
122.00,83.00,46.73,58.57
121.00,82.00,46.73,58.57
120.00,82.00,46.73,58.57
119.00,83.00,46.73,58.57
118.00,84.00,46.73,58.57
117.00,86.00,46.73,58.57
118.00,88.00,46.73,58.57
117.00,91.00,46.73,58.57
114.00,93.00,46.73,58.57
113.00,96.00,46.73,58.57
116.00,97.00,46.73,58.57
114.00,98.00,46.73,58.57
116.00,98.00,46.73,58.57
98.00,128.00,46.73,58.57
96.00,141.00,46.73,58.57
94.00,139.00,46.73,58.57
91.00,138.00,46.73,58.57
88.00,137.00,46.73,58.57
87.00,137.00,46.73,58.57
2
0
0
0
0
1
122.00,95.00,43.31,52.42
122.00,98.00,43.31,52.42
122.00,100.00,43.31,52.42
121.00,102.00,43.31,52.42
120.00,103.00,43.31,52.42
120.00,104.00,43.31,52.42
121.00,106.00,43.31,52.42
122.00,107.00,43.31,52.42
123.00,109.00,43.31,52.42
